29446,CSCE ,145,30 - Columbia Full Term ,Algorithmic Design I ,MW ,24,Jeremiah Jeffrey Shepherd (P) 
11901,CSCE ,146,30 - Columbia Full Term ,Algorithmic Design II ,TR ,24,Jeremiah Jeffrey Shepherd (P) 
11903,CSCE ,146,30 - Columbia Full Term ,Algorithmic Design II ,TR ,24,Jeremiah Jeffrey Shepherd (P) 
11906,CSCE ,146,30 - Columbia Full Term ,Algorithmic Design II ,TR ,24,Jeremiah Jeffrey Shepherd (P) 
11915,CSCE ,146,30 - Columbia Full Term ,Algorithmic Design II ,TR ,24,Jeremiah Jeffrey Shepherd (P) 
24989,CSCE ,146,30 - Columbia Full Term ,Algorithmic Design II ,TR ,24,Jeremiah Jeffrey Shepherd (P) 
12883,CSCE ,190,30 - Columbia Full Term ,Computing in the Modern World ,T ,330,Marco Valtorta (P) 
11882,CSCE ,201,30 - Columbia Full Term ,Introduction to Computer Security ,MW ,35,Nicholas Michael Stiffler (P) 
22595,CSCE ,201,30 - Columbia Full Term ,Introduction to Computer Security ,TR ,35,Nicholas Michael Stiffler (P) 
11881,CSCE ,204,30 - Columbia Full Term ,Program Design and Development ,MWF ,35,Mingxiang Zhu (P) 
12917,CSCE ,205,30 - Columbia Full Term ,Business Applications Programming ,MW ,35,Christine M.G. Brown (P) 
12947,CSCE ,206,30 - Columbia Full Term ,Scientific Applications Programming ,MWF ,60,Yan Zhang (P) 
12961,CSCE ,210,30 - Columbia Full Term ,Computer Hardware Foundations ,TR ,75,Matt Eric Thatcher (P) 
12995,CSCE ,211,30 - Columbia Full Term ,Digital Logic Design ,TR ,66,Chin-Tser Huang (P) 
15918,CSCE ,211,30 - Columbia Full Term ,Digital Logic Design ,TR ,49,William Henry Hoskins (P) 
17015,CSCE ,211,30 - Columbia Full Term ,Digital Logic Design ,TR ,49,Madushan Thilina Abeysinghe (P) 
13006,CSCE ,212,30 - Columbia Full Term ,Introduction to Computer Architecture ,TR ,66,Song Wang (P) 
17206,CSCE ,212,30 - Columbia Full Term ,Introduction to Computer Architecture ,MW ,49,Dazhou Guo (P) 
28218,CSCE ,215,3BS - Columbia ,UNIX/Linux Fundamentals ,MTW ,50,Daniel J Pade (P) 
14539,CSCE ,215,3A - Columbia First Half Term ,UNIX/Linux Fundamentals ,MW ,16,Patrick B. O'Keefe (P) 
14543,CSCE ,215,3A - Columbia First Half Term ,UNIX/Linux Fundamentals ,MW ,16,Patrick B. O'Keefe (P) 
14544,CSCE ,215,3A - Columbia First Half Term ,UNIX/Linux Fundamentals ,MW ,16,Patrick B. O'Keefe (P) 
17199,CSCE ,215,3A - Columbia First Half Term ,UNIX/Linux Fundamentals ,MW ,16,Patrick B. O'Keefe (P) 
14545,CSCE ,215,3B - Columbia Second Half Term ,UNIX/Linux Fundamentals ,MW ,16,Patrick B. O'Keefe (P) 
17200,CSCE ,215,3B - Columbia Second Half Term ,UNIX/Linux Fundamentals ,MW ,16,Patrick B. O'Keefe (P) 
17201,CSCE ,215,3B - Columbia Second Half Term ,UNIX/Linux Fundamentals ,MW ,16,Patrick B. O'Keefe (P) 
13018,CSCE ,240,30 - Columbia Full Term ,Introduction to Software Engineering ,TR ,78,Duncan A. Buell (P) 
15919,CSCE ,240,30 - Columbia Full Term ,Introduction to Software Engineering ,MWF ,66,Homayoun Valafar (P) 
17934,CSCE ,240,30 - Columbia Full Term ,Introduction to Software Engineering ,MWF ,38,Casey Anne Cole (P) 
18439,CSCE ,274,30 - Columbia Full Term ,Robotic Applications and Design ,TR ,36,Alberto Quattrini Li (P) 
22873,CSCE ,274,30 - Columbia Full Term ,Robotic Applications and Design ,TR ,36,Alberto Quattrini Li (P) 
11891,CSCE ,311,30 - Columbia Full Term ,Operating Systems ,TR ,66,John R. Rose (P) 
17933,CSCE ,311,30 - Columbia Full Term ,Operating Systems ,TR ,49,Ahmed Shehab Khan (P) 
13024,CSCE ,330,30 - Columbia Full Term ,Programming Language Structures ,TR ,49,Marco Valtorta (P) 
18672,CSCE ,330,30 - Columbia Full Term ,Programming Language Structures ,MW ,49,Aaron Ray Hein (P) 
14111,CSCE ,350,30 - Columbia Full Term ,Data Structures and Algorithms ,TR ,78,Duncan A. Buell (P) 
17956,CSCE ,350,30 - Columbia Full Term ,Data Structures and Algorithms ,MWF ,28,James Patrick Brubaker (P) 
14538,CSCE ,355,30 - Columbia Full Term ,Foundations of Computation ,TR ,78,Daniel J Pade (P) 
13035,CSCE ,390,30 - Columbia Full Term ,Professional Issues in Computer Science and Engineering ,R ,78,Marco Valtorta (P) 
28778,CSCE ,390,30 - Columbia Full Term ,Professional Issues in Computer Science and Engineering ,R ,49,Marco Valtorta (P) 
13039,CSCE ,416,30 - Columbia Full Term ,Introduction to Computer Networks ,TR ,49,Srihari Nelakuditi (P) 
14536,CSCE ,490,30 - Columbia Full Term ,Capstone Computing Project I ,  ,120,Jose M Vidal (P) 
16020,CSCE ,490,30 - Columbia Full Term ,Capstone Computing Project I ,  ,25,Jose M Vidal (P) 
12852,CSCE ,498,30 - Columbia Full Term ,Human Robot Interaction ,  ,5,Jenay Michelle Beer (P) 
28774,CSCE ,498,30 - Columbia Full Term ,Independent Study ,MW ,5,Srihari Nelakuditi (P) 
13041,CSCE ,513,30 - Columbia Full Term ,Computer Architecture ,MW ,60,Manton M. Matthews (P) 
13042,CSCE ,513,30 - Columbia Full Term ,HNRS: Computer Architecture ,MW ,3,Manton M. Matthews (P) 
27584,CSCE ,515,30 - Columbia Full Term ,Computer Network Programming ,TR ,25,Wenyuan Xu (P) 
28775,CSCE ,515,30 - Columbia Full Term ,Computer Network Programming ,TR ,10,Wenyuan Xu (P) 
28773,CSCE ,515,30 - Columbia Full Term ,Computer Network Programming ,TR ,28,Wenyuan Xu (P) 
27588,CSCE ,515,30 - Columbia Full Term ,HNRS: Computer Network Programming ,TR ,3,Wenyuan Xu (P) 
14324,CSCE ,520,30 - Columbia Full Term ,Database System Design ,TR ,60,Stephen A. Fenner (P) 
14328,CSCE ,520,30 - Columbia Full Term ,HNRS: Database System Design ,TR ,3,Stephen A. Fenner (P) 
13074,CSCE ,522,30 - Columbia Full Term ,Information Security Principles ,MW ,19,Csilla Farkas (P) 
