13020,4,TR ,50,Jason Matthew Okane (P) 
13022,3,TR ,50,Ioannis M Rekleitis (P) 
13023,4,MW ,50,John R. Rose (P) 
13024,3,MW ,49,Marco Valtorta (P) 
13025,3,MW ,50,Jijun Tang (P) 
13026,3,MW ,50,Gabriel Alin Terejanu (P) 
13028,3,F ,50,Matt Eric Thatcher (P) 
13031,3,TR ,50,Yan Tong (P) 
13032,3,MWF ,50,Homayoun Valafar (P) 
13034,3,T,50,Marco Valtorta (P) 
13035,3,F ,78,Marco Valtorta (P) 
13036,1,MW ,50,Jose M Vidal (P) 
13039,3,TR ,49,Srihari Nelakuditi (P) 
13041,3,MW ,60,Manton M. Matthews (P) 
13042,3,MW ,3,Manton M. Matthews (P) 
13074,3,MW ,19,Csilla Farkas (P) 
13075,3,MW ,3,Csilla Farkas (P) 
13079,3,MW ,30,Jason Daniel Bakos (P) 
13087,3,TR ,50,Jason Matthew Okane (P) 
14111,3,TR ,78,Duncan A. Buell (P) 
14324,1,F ,60,Stephen A. Fenner (P) 
